Call Type,Incident Number,Battalion,Station Area,Call Type Group,nodeID,parentID
Medical Incident,5,B07,3,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Industrial Accidents,18,B10,17,Fire,Fire.Industrial Accidents.B10,Fire.Industrial Accidents
Fuel Spill,26,B10,37,Alarm,Alarm.Fuel Spill.B10,Alarm.Fuel Spill
Medical Incident,9,B02,48,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Traffic Collision,17,B99,10,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B99,Potentially Life-Threatening.Traffic Collision
Medical Incident,2,B01,11,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
Medical Incident,5772,B01,41,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
Gas Leak (Natural and LP Gases),400,B03,1,Alarm,Alarm.Gas Leak (Natural and LP Gases).B03,Alarm.Gas Leak (Natural and LP Gases)
Outside Fire,3,B02,5,Alarm,Alarm.Outside Fire.B02,Alarm.Outside Fire
Other,54,B02,29,Non Life-threatening,Non Life-threatening.Other.B02,Non Life-threatening.Other
Traffic Collision,839,B02,1,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B02,Potentially Life-Threatening.Traffic Collision
Medical Incident,936,B09,26,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Electrical Hazard,1,B03,36,Alarm,Alarm.Electrical Hazard.B03,Alarm.Electrical Hazard
Vehicle Fire,5,B01,16,Fire,Fire.Vehicle Fire.B01,Fire.Vehicle Fire
Water Rescue,13,B99,35,Fire,Fire.Water Rescue.B99,Fire.Water Rescue
Smoke Investigation (Outside),2,B09,28,Alarm,Alarm.Smoke Investigation (Outside).B09,Alarm.Smoke Investigation (Outside)
Medical Incident,226,B03,37,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Vehicle Fire,9,B04,28,Fire,Fire.Vehicle Fire.B04,Fire.Vehicle Fire
Odor (Strange / Unknown),4,B08,33,Alarm,Alarm.Odor (Strange / Unknown).B08,Alarm.Odor (Strange / Unknown)
Medical Incident,11190,B06,7,Non Life-threatening,Non Life-threatening.Medical Incident.B06,Non Life-threatening.Medical Incident
Medical Incident,10363,B01,3,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
Other,3,B02,,Non Life-threatening,Non Life-threatening.Other.B02,Non Life-threatening.Other
Structure Fire,8,B03,36,Fire,Fire.Structure Fire.B03,Fire.Structure Fire
Alarms,13729,B02,36,Alarm,Alarm.Alarms.B02,Alarm.Alarms
Structure Fire,126,B04,5,Fire,Fire.Structure Fire.B04,Fire.Structure Fire
Gas Leak (Natural and LP Gases),88,B06,26,Alarm,Alarm.Gas Leak (Natural and LP Gases).B06,Alarm.Gas Leak (Natural and LP Gases)
Vehicle Fire,133,B04,38,Fire,Fire.Vehicle Fire.B04,Fire.Vehicle Fire
Electrical Hazard,10,B04,5,Alarm,Alarm.Electrical Hazard.B04,Alarm.Electrical Hazard
Gas Leak (Natural and LP Gases),280,B01,28,Alarm,Alarm.Gas Leak (Natural and LP Gases).B01,Alarm.Gas Leak (Natural and LP Gases)
Smoke Investigation (Outside),18,B10,32,Alarm,Alarm.Smoke Investigation (Outside).B10,Alarm.Smoke Investigation (Outside)
Medical Incident,78,B01,,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
Medical Incident,3,B01,3,Alarm,Alarm.Medical Incident.B01,Alarm.Medical Incident
Gas Leak (Natural and LP Gases),478,B04,16,Alarm,Alarm.Gas Leak (Natural and LP Gases).B04,Alarm.Gas Leak (Natural and LP Gases)
Other,139,B02,3,Non Life-threatening,Non Life-threatening.Other.B02,Non Life-threatening.Other
Medical Incident,23,B99,15,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Medical Incident,4,B99,25,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Medical Incident,1,B01,8,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
Other,2,B02,8,Alarm,Alarm.Other.B02,Alarm.Other
HazMat,9,B09,44,Alarm,Alarm.HazMat.B09,Alarm.HazMat
Traffic Collision,744,B01,2,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B01,Potentially Life-Threatening.Traffic Collision
Electrical Hazard,34,B07,10,Alarm,Alarm.Electrical Hazard.B07,Alarm.Electrical Hazard
Other,1,B06,11,Fire,Fire.Other.B06,Fire.Other
Structure Fire,429,B07,10,Fire,Fire.Structure Fire.B07,Fire.Structure Fire
Smoke Investigation (Outside),36,B05,5,Alarm,Alarm.Smoke Investigation (Outside).B05,Alarm.Smoke Investigation (Outside)
Citizen Assist / Service Call,3,B08,32,Alarm,Alarm.Citizen Assist / Service Call.B08,Alarm.Citizen Assist / Service Call
Medical Incident,3,B09,20,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Other,1,B09,17,Non Life-threatening,Non Life-threatening.Other.B09,Non Life-threatening.Other
Other,6,B01,16,Potentially Life-Threatening,Potentially Life-Threatening.Other.B01,Potentially Life-Threatening.Other
Elevator / Escalator Rescue,63,B04,41,Alarm,Alarm.Elevator / Escalator Rescue.B04,Alarm.Elevator / Escalator Rescue
Other,619,B04,38,Alarm,Alarm.Other.B04,Alarm.Other
Medical Incident,38,B01,35,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
Medical Incident,24,B07,,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Medical Incident,3,B09,12,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Gas Leak (Natural and LP Gases),3,B05,2,Alarm,Alarm.Gas Leak (Natural and LP Gases).B05,Alarm.Gas Leak (Natural and LP Gases)
Smoke Investigation (Outside),71,B08,18,Alarm,Alarm.Smoke Investigation (Outside).B08,Alarm.Smoke Investigation (Outside)
Confined Space / Structure Collapse,22,B06,26,Fire,Fire.Confined Space / Structure Collapse.B06,Fire.Confined Space / Structure Collapse
Vehicle Fire,13,B06,11,Alarm,Alarm.Vehicle Fire.B06,Alarm.Vehicle Fire
Medical Incident,37,B07,8,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
"Extrication / Entrapped (Machinery, Vehicle)",2,B01,13,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B01","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Confined Space / Structure Collapse,28,B01,28,Fire,Fire.Confined Space / Structure Collapse.B01,Fire.Confined Space / Structure Collapse
Mutual Aid / Assist Outside Agency,156,B06,7,Fire,Fire.Mutual Aid / Assist Outside Agency.B06,Fire.Mutual Aid / Assist Outside Agency
Medical Incident,2,B07,29,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Confined Space / Structure Collapse,10,B04,16,Fire,Fire.Confined Space / Structure Collapse.B04,Fire.Confined Space / Structure Collapse
Industrial Accidents,7,B07,14,Fire,Fire.Industrial Accidents.B07,Fire.Industrial Accidents
HazMat,9,B02,1,Alarm,Alarm.HazMat.B02,Alarm.HazMat
HazMat,3,B99,51,Fire,Fire.HazMat.B99,Fire.HazMat
Watercraft in Distress,14,B07,34,Fire,Fire.Watercraft in Distress.B07,Fire.Watercraft in Distress
Medical Incident,2,B10,21,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
Outside Fire,3,B01,2,Alarm,Alarm.Outside Fire.B01,Alarm.Outside Fire
Outside Fire,52,B08,20,Fire,Fire.Outside Fire.B08,Fire.Outside Fire
HazMat,7,B08,19,Fire,Fire.HazMat.B08,Fire.HazMat
Assist Police,10,B04,38,Alarm,Alarm.Assist Police.B04,Alarm.Assist Police
Other,1,B04,3,Fire,Fire.Other.B04,Fire.Other
Medical Incident,4,B99,38,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Medical Incident,1,B02,20,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Outside Fire,11,B08,12,Fire,Fire.Outside Fire.B08,Fire.Outside Fire
Medical Incident,3,B02,12,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Alarms,21,B07,,Alarm,Alarm.Alarms.B07,Alarm.Alarms
Smoke Investigation (Outside),63,B08,40,Alarm,Alarm.Smoke Investigation (Outside).B08,Alarm.Smoke Investigation (Outside)
"Extrication / Entrapped (Machinery, Vehicle)",3,B07,22,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B07","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Medical Incident,23,B07,34,Alarm,Alarm.Medical Incident.B07,Alarm.Medical Incident
Medical Incident,4,B10,14,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
Water Rescue,11,B07,34,Potentially Life-Threatening,Potentially Life-Threatening.Water Rescue.B07,Potentially Life-Threatening.Water Rescue
Citizen Assist / Service Call,28,B04,28,Alarm,Alarm.Citizen Assist / Service Call.B04,Alarm.Citizen Assist / Service Call
Odor (Strange / Unknown),3,B07,10,Fire,Fire.Odor (Strange / Unknown).B07,Fire.Odor (Strange / Unknown)
Structure Fire,10,B02,21,Alarm,Alarm.Structure Fire.B02,Alarm.Structure Fire
Medical Incident,11,B10,44,Alarm,Alarm.Medical Incident.B10,Alarm.Medical Incident
Medical Incident,4,B04,33,Non Life-threatening,Non Life-threatening.Medical Incident.B04,Non Life-threatening.Medical Incident
Medical Incident,18,B10,42,Alarm,Alarm.Medical Incident.B10,Alarm.Medical Incident
Outside Fire,89,B10,7,Fire,Fire.Outside Fire.B10,Fire.Outside Fire
Citizen Assist / Service Call,17,B01,16,Alarm,Alarm.Citizen Assist / Service Call.B01,Alarm.Citizen Assist / Service Call
Water Rescue,1228,B01,28,Fire,Fire.Water Rescue.B01,Fire.Water Rescue
Gas Leak (Natural and LP Gases),207,B02,7,Alarm,Alarm.Gas Leak (Natural and LP Gases).B02,Alarm.Gas Leak (Natural and LP Gases)
Water Rescue,576,B04,16,Fire,Fire.Water Rescue.B04,Fire.Water Rescue
Traffic Collision,5,B03,7,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B03,Potentially Life-Threatening.Traffic Collision
Medical Incident,8795,B05,10,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Water Rescue,19,B06,26,Fire,Fire.Water Rescue.B06,Fire.Water Rescue
Other,1,B04,25,Alarm,Alarm.Other.B04,Alarm.Other
HazMat,3,B02,5,Alarm,Alarm.HazMat.B02,Alarm.HazMat
Vehicle Fire,43,B04,41,Fire,Fire.Vehicle Fire.B04,Fire.Vehicle Fire
Citizen Assist / Service Call,1,B03,6,Alarm,Alarm.Citizen Assist / Service Call.B03,Alarm.Citizen Assist / Service Call
Traffic Collision,1,B99,22,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Medical Incident,2,B99,34,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Odor (Strange / Unknown),6,B08,12,Alarm,Alarm.Odor (Strange / Unknown).B08,Alarm.Odor (Strange / Unknown)
"Extrication / Entrapped (Machinery, Vehicle)",4,B99,51,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B99","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Odor (Strange / Unknown),7,B08,20,Alarm,Alarm.Odor (Strange / Unknown).B08,Alarm.Odor (Strange / Unknown)
Odor (Strange / Unknown),3,B01,2,Fire,Fire.Odor (Strange / Unknown).B01,Fire.Odor (Strange / Unknown)
Medical Incident,7,B99,17,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Medical Incident,13159,B01,28,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
Medical Incident,8,B06,36,Non Life-threatening,Non Life-threatening.Medical Incident.B06,Non Life-threatening.Medical Incident
Medical Incident,8681,B04,16,Non Life-threatening,Non Life-threatening.Medical Incident.B04,Non Life-threatening.Medical Incident
Traffic Collision,16,B99,6,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Medical Incident,2784,B06,26,Non Life-threatening,Non Life-threatening.Medical Incident.B06,Non Life-threatening.Medical Incident
Citizen Assist / Service Call,929,B08,18,Alarm,Alarm.Citizen Assist / Service Call.B08,Alarm.Citizen Assist / Service Call
"Extrication / Entrapped (Machinery, Vehicle)",5,B08,19,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B08","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Alarms,4261,B02,7,Alarm,Alarm.Alarms.B02,Alarm.Alarms
Medical Incident,1,B09,7,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Citizen Assist / Service Call,73,B10,32,Alarm,Alarm.Citizen Assist / Service Call.B10,Alarm.Citizen Assist / Service Call
Other,207,B04,41,Alarm,Alarm.Other.B04,Alarm.Other
Elevator / Escalator Rescue,330,B04,38,Alarm,Alarm.Elevator / Escalator Rescue.B04,Alarm.Elevator / Escalator Rescue
Explosion,10,B08,40,Fire,Fire.Explosion.B08,Fire.Explosion
Outside Fire,3,B04,5,Alarm,Alarm.Outside Fire.B04,Alarm.Outside Fire
Other,16,B03,13,Non Life-threatening,Non Life-threatening.Other.B03,Non Life-threatening.Other
Traffic Collision,2,B05,,Non Life-threatening,Non Life-threatening.Traffic Collision.B05,Non Life-threatening.Traffic Collision
HazMat,4,B03,48,Alarm,Alarm.HazMat.B03,Alarm.HazMat
Alarms,3,B06,19,Alarm,Alarm.Alarms.B06,Alarm.Alarms
Train / Rail Incident,7,B10,37,Fire,Fire.Train / Rail Incident.B10,Fire.Train / Rail Incident
Structure Fire,27,B05,,Alarm,Alarm.Structure Fire.B05,Alarm.Structure Fire
Medical Incident,9,B10,37,Alarm,Alarm.Medical Incident.B10,Alarm.Medical Incident
Gas Leak (Natural and LP Gases),3,B07,,Alarm,Alarm.Gas Leak (Natural and LP Gases).B07,Alarm.Gas Leak (Natural and LP Gases)
Odor (Strange / Unknown),4,B10,7,Alarm,Alarm.Odor (Strange / Unknown).B10,Alarm.Odor (Strange / Unknown)
Medical Incident,1,B05,2,Non Life-threatening,Non Life-threatening.Medical Incident.B05,Non Life-threatening.Medical Incident
Citizen Assist / Service Call,517,B05,5,Alarm,Alarm.Citizen Assist / Service Call.B05,Alarm.Citizen Assist / Service Call
Other,32,B08,40,Potentially Life-Threatening,Potentially Life-Threatening.Other.B08,Potentially Life-Threatening.Other
Other,2,B04,,Non Life-threatening,Non Life-threatening.Other.B04,Non Life-threatening.Other
Other,68,B09,15,Non Life-threatening,Non Life-threatening.Other.B09,Non Life-threatening.Other
Smoke Investigation (Outside),4,B04,28,Alarm,Alarm.Smoke Investigation (Outside).B04,Alarm.Smoke Investigation (Outside)
Outside Fire,1,B07,51,Fire,Fire.Outside Fire.B07,Fire.Outside Fire
Outside Fire,1,B02,21,Fire,Fire.Outside Fire.B02,Fire.Outside Fire
Marine Fire,8,B03,35,Fire,Fire.Marine Fire.B03,Fire.Marine Fire
Smoke Investigation (Outside),1,B01,16,Alarm,Alarm.Smoke Investigation (Outside).B01,Alarm.Smoke Investigation (Outside)
Traffic Collision,55,B10,7,Non Life-threatening,Non Life-threatening.Traffic Collision.B10,Non Life-threatening.Traffic Collision
Other,137,B09,39,Alarm,Alarm.Other.B09,Alarm.Other
Structure Fire,375,B10,7,Alarm,Alarm.Structure Fire.B10,Alarm.Structure Fire
Explosion,13,B08,18,Fire,Fire.Explosion.B08,Fire.Explosion
Water Rescue,12,B07,,Fire,Fire.Water Rescue.B07,Fire.Water Rescue
Medical Incident,14,B04,36,Non Life-threatening,Non Life-threatening.Medical Incident.B04,Non Life-threatening.Medical Incident
Medical Incident,171,B99,3,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Medical Incident,6,B08,31,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
Other,1,B03,51,Alarm,Alarm.Other.B03,Alarm.Other
Traffic Collision,1,B99,40,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B99,Potentially Life-Threatening.Traffic Collision
Medical Incident,14,B99,41,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Medical Incident,41,B99,11,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Other,8,B08,18,Potentially Life-Threatening,Potentially Life-Threatening.Other.B08,Potentially Life-Threatening.Other
Watercraft in Distress,24,B08,23,Fire,Fire.Watercraft in Distress.B08,Fire.Watercraft in Distress
Assist Police,2,B04,41,Alarm,Alarm.Assist Police.B04,Alarm.Assist Police
Medical Incident,2,B06,19,Non Life-threatening,Non Life-threatening.Medical Incident.B06,Non Life-threatening.Medical Incident
Industrial Accidents,22,B03,8,Fire,Fire.Industrial Accidents.B03,Fire.Industrial Accidents
Vehicle Fire,5,B03,9,Fire,Fire.Vehicle Fire.B03,Fire.Vehicle Fire
Alarms,3,B06,36,Alarm,Alarm.Alarms.B06,Alarm.Alarms
Alarms,7576,B04,16,Alarm,Alarm.Alarms.B04,Alarm.Alarms
Vehicle Fire,7,B09,39,Fire,Fire.Vehicle Fire.B09,Fire.Vehicle Fire
Alarms,8766,B01,28,Alarm,Alarm.Alarms.B01,Alarm.Alarms
Explosion,4,B05,5,Fire,Fire.Explosion.B05,Fire.Explosion
Other,39,B08,22,Non Life-threatening,Non Life-threatening.Other.B08,Non Life-threatening.Other
Medical Incident,15049,B02,7,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Alarms,1806,B06,26,Alarm,Alarm.Alarms.B06,Alarm.Alarms
Other,34,B10,32,Potentially Life-Threatening,Potentially Life-Threatening.Other.B10,Potentially Life-Threatening.Other
Fuel Spill,16,B05,10,Alarm,Alarm.Fuel Spill.B05,Alarm.Fuel Spill
Traffic Collision,360,B04,5,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B04,Potentially Life-Threatening.Traffic Collision
Structure Fire,76,B08,12,Alarm,Alarm.Structure Fire.B08,Alarm.Structure Fire
Traffic Collision,274,B07,10,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B07,Potentially Life-Threatening.Traffic Collision
Electrical Hazard,51,B01,2,Alarm,Alarm.Electrical Hazard.B01,Alarm.Electrical Hazard
Traffic Collision,45,B08,12,Non Life-threatening,Non Life-threatening.Traffic Collision.B08,Non Life-threatening.Traffic Collision
Citizen Assist / Service Call,2,B05,1,Alarm,Alarm.Citizen Assist / Service Call.B05,Alarm.Citizen Assist / Service Call
Medical Incident,13,B08,23,Alarm,Alarm.Medical Incident.B08,Alarm.Medical Incident
Citizen Assist / Service Call,571,B08,40,Alarm,Alarm.Citizen Assist / Service Call.B08,Alarm.Citizen Assist / Service Call
Medical Incident,2,B05,9,Non Life-threatening,Non Life-threatening.Medical Incident.B05,Non Life-threatening.Medical Incident
Other,3,B10,10,Alarm,Alarm.Other.B10,Alarm.Other
Other,9,B05,5,Potentially Life-Threatening,Potentially Life-Threatening.Other.B05,Potentially Life-Threatening.Other
