Call Type,Incident Number,Battalion,Station Area,Call Type Group
Citizen Assist / Service Call,397,B10,42,Alarm
Traffic Collision,6,B10,,Non Life-threatening
Gas Leak (Natural and LP Gases),329,B04,03,Alarm
Medical Incident,3,B06,15,Non Life-threatening
Citizen Assist / Service Call,286,B10,44,Alarm
Medical Incident,4,B06,25,Potentially Life-Threatening
Structure Fire,24,B10,,Alarm
Fuel Spill,9,B09,39,Alarm
Outside Fire,25,B05,20,Fire
Electrical Hazard,40,B03,35,Alarm
Outside Fire,4,B08,39,Alarm
Traffic Collision,4,B02,09,Non Life-threatening
Other,4,B99,38,Alarm
Odor (Strange / Unknown),1,B10,,Alarm
Outside Fire,387,B05,12,Fire
Smoke Investigation (Outside),115,B10,37,Alarm
Structure Fire,270,B03,35,Fire
Confined Space / Structure Collapse,9,B06,11,Fire
Vehicle Fire,69,B05,10,Fire
"Extrication / Entrapped (Machinery, Vehicle)",6,B02,06,Fire
Gas Leak (Natural and LP Gases),479,B05,21,Alarm
Structure Fire,292,B07,21,Alarm
Alarms,2611,B09,43,Alarm
Traffic Collision,77,B07,21,Non Life-threatening
Traffic Collision,1216,B07,31,Non Life-threatening
HazMat,8,B04,10,Alarm
Odor (Strange / Unknown),1,B10,29,Alarm
Other,17,B09,19,Non Life-threatening
Structure Fire,4064,B07,31,Alarm
Citizen Assist / Service Call,218,B01,03,Alarm
Other,342,B02,36,Non Life-threatening
Gas Leak (Natural and LP Gases),7,B99,16,Alarm
Other,7,B05,24,Potentially Life-Threatening
Other,12,B01,28,Fire
Citizen Assist / Service Call,2,B07,41,Alarm
Alarms,54,B02,,Alarm
Medical Incident,257,B07,12,Non Life-threatening
Medical Incident,27,B09,,Non Life-threatening
"Extrication / Entrapped (Machinery, Vehicle)",21,B10,17,Fire
Other,11,B04,16,Fire
Medical Incident,4,B08,10,Potentially Life-Threatening
Medical Incident,2367,B10,09,Non Life-threatening
Other,298,B05,10,Alarm
Electrical Hazard,4,B03,,Alarm
Explosion,15,B07,34,Fire
Medical Incident,2,B07,20,Non Life-threatening
Outside Fire,1,B06,24,Alarm
Other,30,B10,42,Potentially Life-Threatening
Traffic Collision,477,B07,14,Non Life-threatening
Other,31,B10,44,Potentially Life-Threatening
Outside Fire,1,B06,32,Alarm
Structure Fire,3092,B07,14,Alarm
Structure Fire,235,B03,29,Fire
Explosion,5,B05,24,Fire
Alarms,2107,B02,29,Alarm
Electrical Hazard,48,B03,29,Alarm
Other,28,B07,34,Potentially Life-Threatening
Medical Incident,2,B10,51,Non Life-threatening
Gas Leak (Natural and LP Gases),433,B06,11,Alarm
Other,377,B10,42,Alarm
Other,260,B10,44,Alarm
Odor (Strange / Unknown),23,B01,01,Alarm
Fuel Spill,14,B05,05,Alarm
Traffic Collision,307,B04,10,Potentially Life-Threatening
Traffic Collision,3,B08,15,Non Life-threatening
Explosion,3,B05,10,Fire
Other,397,B07,34,Alarm
Industrial Accidents,16,B01,13,Fire
Structure Fire,5244,B10,17,Alarm
Alarms,9730,B02,03,Alarm
Traffic Collision,966,B10,17,Non Life-threatening
Structure Fire,235,B03,03,Fire
Assist Police,2,B01,03,Alarm
Medical Incident,2,B10,06,Non Life-threatening
Other,38,B05,24,Alarm
Medical Incident,4,B01,36,Potentially Life-Threatening
HazMat,6,B06,06,Fire
Gas Leak (Natural and LP Gases),210,B08,22,Alarm
Fuel Spill,8,B10,32,Alarm
Electrical Hazard,3,B03,03,Alarm
Elevator / Escalator Rescue,10,B08,23,Alarm
Vehicle Fire,291,B10,42,Fire
Medical Incident,2,B01,04,Non Life-threatening
Vehicle Fire,241,B10,44,Fire
Fuel Spill,35,B08,18,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",2,B07,21,Fire
Mutual Aid / Assist Outside Agency,3,B09,,Fire
Citizen Assist / Service Call,1,B01,,Alarm
Vehicle Fire,43,B07,34,Fire
Other,2,B10,21,Non Life-threatening
Medical Incident,13,B06,39,Potentially Life-Threatening
Vehicle Fire,23,B05,24,Fire
Medical Incident,8,B07,36,Non Life-threatening
Structure Fire,208,B09,32,Fire
Medical Incident,6,B03,32,Non Life-threatening
Suspicious Package,6,B10,25,Fire
Structure Fire,4067,B02,06,Alarm
Outside Fire,12,B04,51,Fire
Electrical Hazard,69,B09,32,Alarm
Traffic Collision,504,B02,06,Non Life-threatening
Other,2,B99,28,Alarm
Structure Fire,11,B03,25,Alarm
Medical Incident,1,B02,17,Non Life-threatening
Alarms,3,B09,17,Alarm
Medical Incident,1,B07,26,Non Life-threatening
Traffic Collision,12,B03,25,Non Life-threatening
Alarms,3,B03,32,Alarm
Vehicle Fire,31,B01,03,Fire
Medical Incident,125,B99,07,Non Life-threatening
Fuel Spill,35,B08,40,Alarm
Medical Incident,3,B09,17,Non Life-threatening
Traffic Collision,7,B10,03,Non Life-threatening
Medical Incident,287,B01,16,Potentially Life-Threatening
Structure Fire,3,B10,03,Alarm
Medical Incident,70,B04,38,Alarm
Medical Incident,974,B04,28,Potentially Life-Threatening
Outside Fire,18,B99,14,Fire
Outside Fire,2,B04,10,Alarm
Odor (Strange / Unknown),48,B02,06,Alarm
Gas Leak (Natural and LP Gases),242,B09,15,Alarm
Citizen Assist / Service Call,383,B05,10,Alarm
HazMat,4,B08,39,Alarm
Medical Incident,6,B10,40,Potentially Life-Threatening
Medical Incident,1,B05,37,Potentially Life-Threatening
Traffic Collision,3,B07,01,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),18,B03,13,Alarm
Elevator / Escalator Rescue,41,B10,37,Alarm
HazMat,2,B05,12,Fire
Traffic Collision,5,B02,13,Potentially Life-Threatening
Mutual Aid / Assist Outside Agency,8,B02,,Fire
High Angle Rescue,196,B07,34,Fire
Structure Fire,710,B10,25,Fire
Water Rescue,15,B08,22,Fire
Outside Fire,15,B99,31,Fire
Other,137,B01,03,Alarm
Odor (Strange / Unknown),109,B10,17,Alarm
HazMat,17,B06,32,Alarm
Medical Incident,21900,B02,03,Non Life-threatening
Electrical Hazard,66,B10,25,Alarm
Medical Incident,3,B07,16,Non Life-threatening
Water Rescue,1,B06,,Fire
Outside Fire,138,B06,09,Fire
Structure Fire,2579,B01,01,Alarm
Traffic Collision,131,B01,01,Non Life-threatening
Assist Police,18,B10,44,Alarm
Other,3,B05,06,Fire
Assist Police,5,B10,42,Alarm
Medical Incident,13,B02,41,Potentially Life-Threatening
HazMat,3,B06,24,Alarm
Medical Incident,9,B02,11,Non Life-threatening
Medical Incident,6,B01,48,Potentially Life-Threatening
Assist Police,12,B07,34,Alarm
Confined Space / Structure Collapse,12,B09,15,Fire
Medical Incident,3,B07,19,Non Life-threatening
Other,89,B02,07,Non Life-threatening
Medical Incident,6793,B08,22,Non Life-threatening
Elevator / Escalator Rescue,17,B10,42,Alarm
Other,1,B06,07,Fire
Elevator / Escalator Rescue,12,B10,44,Alarm
Medical Incident,1612,B10,32,Potentially Life-Threatening
Medical Incident,2,B05,44,Potentially Life-Threatening
Traffic Collision,1089,B10,25,Potentially Life-Threatening
Elevator / Escalator Rescue,49,B07,34,Alarm
Medical Incident,31,B06,,Non Life-threatening
Medical Incident,1,B03,18,Non Life-threatening
Medical Incident,2,B05,23,Potentially Life-Threatening
Traffic Collision,23,B04,51,Non Life-threatening
Outside Fire,597,B02,06,Fire
Structure Fire,74,B04,51,Alarm
Medical Incident,13556,B05,05,Potentially Life-Threatening
Medical Incident,3,B08,06,Non Life-threatening
Medical Incident,13,B06,29,Non Life-threatening
Other,390,B08,23,Alarm
Alarms,3250,B09,15,Alarm
Medical Incident,3,B02,25,Potentially Life-Threatening
Alarms,43,B04,,Alarm
Medical Incident,4,B03,06,Potentially Life-Threatening
Assist Police,5,B10,37,Alarm
Medical Incident,3,B09,39,Alarm
Odor (Strange / Unknown),21,B06,09,Alarm
Alarms,1177,B03,13,Alarm
Traffic Collision,4,B05,36,Non Life-threatening
Outside Fire,1461,B10,17,Fire
Alarms,1,B06,43,Alarm
Vehicle Fire,110,B08,23,Fire
Medical Incident,13686,B08,18,Potentially Life-Threatening
Outside Fire,2,B03,03,Alarm
Medical Incident,2588,B03,13,Non Life-threatening
Medical Incident,3,B04,29,Non Life-threatening
Traffic Collision,7,B99,21,Non Life-threatening
Outside Fire,24,B10,25,Alarm
Assist Police,1,B99,08,Alarm
Medical Incident,35,B04,41,Alarm
HazMat,14,B03,29,Alarm
Traffic Collision,48,B99,31,Non Life-threatening
Medical Incident,4,B06,43,Non Life-threatening
HazMat,5,B07,14,Fire
Medical Incident,45,B04,,Non Life-threatening
Fuel Spill,2,B01,16,Alarm
Medical Incident,16,B05,01,Potentially Life-Threatening
Medical Incident,12737,B08,40,Potentially Life-Threatening
Medical Incident,9626,B09,15,Non Life-threatening
Fuel Spill,3,B04,28,Alarm
Citizen Assist / Service Call,2,B03,31,Alarm
Other,1,B01,39,Non Life-threatening
Structure Fire,1352,B06,09,Alarm
Outside Fire,288,B01,01,Fire
Other,388,B10,37,Alarm
Traffic Collision,185,B06,09,Non Life-threatening
Traffic Collision,886,B09,32,Potentially Life-Threatening
Structure Fire,11,B99,14,Alarm
Structure Fire,456,B04,10,Fire
Traffic Collision,7,B99,14,Non Life-threatening
Elevator / Escalator Rescue,211,B01,03,Alarm
HazMat,1,B07,31,Fire
"Extrication / Entrapped (Machinery, Vehicle)",12,B03,08,Fire
Electrical Hazard,55,B04,10,Alarm
Assist Police,5,B08,23,Alarm
Industrial Accidents,28,B03,04,Fire
Electrical Hazard,1,B09,40,Alarm
Medical Incident,32,B99,12,Non Life-threatening
Other,19,B06,26,Non Life-threatening
Alarms,2237,B08,22,Alarm
HazMat,20,B03,35,Alarm
Traffic Collision,353,B03,03,Potentially Life-Threatening
Alarms,19,B06,,Alarm
Medical Incident,7,B02,38,Potentially Life-Threatening
Medical Incident,3,B99,20,Non Life-threatening
Smoke Investigation (Outside),26,B05,10,Alarm
Other,63,B01,28,Non Life-threatening
Other,36,B04,16,Non Life-threatening
Vehicle Fire,148,B10,37,Fire
Gas Leak (Natural and LP Gases),212,B02,03,Alarm
Outside Fire,52,B10,29,Fire
HazMat,9,B02,06,Fire
Citizen Assist / Service Call,1,B99,08,Alarm
Smoke Investigation (Outside),13,B05,24,Alarm
Water Rescue,1,B10,09,Fire
Alarms,4,B08,51,Alarm
HazMat,3,B09,32,Alarm
Alarms,315,B99,16,Alarm
Structure Fire,4481,B03,08,Alarm
Alarms,5222,B06,11,Alarm
Elevator / Escalator Rescue,1,B01,,Alarm
Medical Incident,2,B99,04,Potentially Life-Threatening
Traffic Collision,1439,B03,08,Non Life-threatening
Smoke Investigation (Outside),97,B10,44,Alarm
Medical Incident,12,B03,02,Potentially Life-Threatening
Smoke Investigation (Outside),170,B10,42,Alarm
Odor (Strange / Unknown),85,B05,12,Alarm
Outside Fire,4,B10,,Fire
Gas Leak (Natural and LP Gases),80,B02,29,Alarm
Outside Fire,1,B09,09,Fire
Other,315,B03,01,Non Life-threatening
Odor (Strange / Unknown),3,B08,39,Fire
Smoke Investigation (Outside),148,B07,34,Alarm
Traffic Collision,944,B03,29,Potentially Life-Threatening
Odor (Strange / Unknown),1,B05,20,Alarm
Traffic Collision,3,B04,13,Potentially Life-Threatening
Medical Incident,3,B06,17,Non Life-threatening
Alarms,5635,B05,21,Alarm
Fuel Spill,63,B04,38,Alarm
Traffic Collision,1864,B03,35,Potentially Life-Threatening
Medical Incident,221,B99,36,Non Life-threatening
Structure Fire,578,B06,06,Alarm
Medical Incident,20875,B04,03,Non Life-threatening
Citizen Assist / Service Call,509,B08,23,Alarm
Traffic Collision,29,B06,06,Non Life-threatening
Medical Incident,65,B08,40,Alarm
Medical Incident,4,B99,26,Non Life-threatening
Alarms,3,B05,31,Alarm
HazMat,10,B10,17,Fire
Structure Fire,10,B08,29,Alarm
Other,27,B10,37,Potentially Life-Threatening
Other,85,B09,33,Non Life-threatening
Industrial Accidents,4,B08,20,Fire
Outside Fire,8,B03,28,Fire
Elevator / Escalator Rescue,2,B01,35,Alarm
Medical Incident,11938,B04,41,Potentially Life-Threatening
Traffic Collision,2,B08,,Non Life-threatening
Gas Leak (Natural and LP Gases),338,B09,43,Alarm
Structure Fire,16,B08,,Alarm
Explosion,16,B10,37,Fire
Confined Space / Structure Collapse,10,B10,09,Fire
Traffic Collision,8,B99,01,Potentially Life-Threatening
Oil Spill,1,B03,48,Alarm
Mutual Aid / Assist Outside Agency,7,B06,,Fire
Structure Fire,372,B06,24,Fire
Water Rescue,7,B09,43,Fire
Other,1,B99,29,Non Life-threatening
Medical Incident,28,B08,18,Alarm
Electrical Hazard,167,B06,24,Alarm
HazMat,4,B01,01,Fire
Traffic Collision,6,B03,43,Potentially Life-Threatening
Medical Incident,6,B99,48,Non Life-threatening
Alarms,7110,B04,03,Alarm
Medical Incident,17,B07,07,Non Life-threatening
Electrical Hazard,162,B06,32,Alarm
Odor (Strange / Unknown),6,B06,06,Alarm
Medical Incident,10924,B05,21,Non Life-threatening
Medical Incident,2292,B09,39,Potentially Life-Threatening
Outside Fire,288,B07,14,Fire
Structure Fire,792,B06,32,Fire
Outside Fire,2,B03,29,Alarm
Medical Incident,9,B05,31,Non Life-threatening
HazMat,8,B10,25,Alarm
Other,1,B03,31,Alarm
Structure Fire,2952,B05,12,Alarm
Outside Fire,1197,B03,35,Alarm
Citizen Assist / Service Call,448,B10,37,Alarm
Traffic Collision,289,B05,12,Non Life-threatening
Electrical Hazard,65,B08,39,Alarm
Gas Leak (Natural and LP Gases),3,B10,51,Alarm
Medical Incident,11608,B06,11,Non Life-threatening
Medical Incident,4,B10,10,Potentially Life-Threatening
Medical Incident,41,B05,05,Alarm
Odor (Strange / Unknown),54,B03,08,Alarm
Traffic Collision,17,B05,20,Non Life-threatening
Medical Incident,2,B99,19,Non Life-threatening
Elevator / Escalator Rescue,68,B05,10,Alarm
Medical Incident,1,B08,09,Non Life-threatening
Other,13,B08,23,Potentially Life-Threatening
Other,2,B03,21,Alarm
Structure Fire,64,B05,20,Alarm
Structure Fire,29,B04,22,Alarm
Outside Fire,6,B02,09,Fire
Structure Fire,316,B08,39,Fire
Vehicle Fire,1,B03,14,Fire
Other,79,B05,06,Non Life-threatening
Gas Leak (Natural and LP Gases),66,B10,09,Alarm
Outside Fire,637,B07,31,Fire
Medical Incident,4,B01,07,Potentially Life-Threatening
Smoke Investigation (Outside),32,B01,03,Alarm
Traffic Collision,3,B04,06,Non Life-threatening
Outside Fire,40,B07,21,Fire
Medical Incident,138,B99,16,Non Life-threatening
Explosion,25,B08,23,Fire
Medical Incident,1,B06,03,Non Life-threatening
Medical Incident,4,B08,51,Non Life-threatening
Gas Leak (Natural and LP Gases),4,B07,12,Alarm
Elevator / Escalator Rescue,299,B01,02,Alarm
Gas Leak (Natural and LP Gases),3,B03,28,Alarm
Traffic Collision,2,B02,28,Potentially Life-Threatening
Medical Incident,182,B03,,Potentially Life-Threatening
Medical Incident,2,B03,03,Alarm
Outside Fire,551,B09,43,Fire
Medical Incident,2,B99,23,Potentially Life-Threatening
Assist Police,2,B04,05,Alarm
Medical Incident,5,B99,05,Potentially Life-Threatening
Other,38,B08,19,Non Life-threatening
HazMat,16,B08,40,Alarm
Explosion,4,B03,48,Fire
Alarms,12,B04,22,Alarm
Medical Incident,10,B99,44,Potentially Life-Threatening
Fuel Spill,11,B08,39,Alarm
Medical Incident,5,B99,42,Potentially Life-Threatening
Assist Police,3,B07,10,Alarm
Medical Incident,6,B04,13,Potentially Life-Threatening
Alarms,299,B05,20,Alarm
Medical Incident,5385,B03,29,Potentially Life-Threatening
Traffic Collision,2,B99,04,Potentially Life-Threatening
Medical Incident,16445,B03,08,Non Life-threatening
Water Rescue,362,B07,14,Fire
Odor (Strange / Unknown),146,B06,11,Alarm
Traffic Collision,5,B03,02,Potentially Life-Threatening
Alarms,4211,B05,12,Alarm
Other,11,B03,48,Potentially Life-Threatening
Other,2,B99,51,Non Life-threatening
Outside Fire,630,B02,29,Fire
Medical Incident,102,B09,32,Alarm
Fuel Spill,70,B06,32,Alarm
Odor (Strange / Unknown),87,B05,21,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",6,B09,15,Fire
Smoke Investigation (Outside),30,B02,05,Alarm
Medical Incident,540,B06,06,Non Life-threatening
Structure Fire,7343,B04,03,Alarm
Medical Incident,17416,B03,35,Potentially Life-Threatening
Traffic Collision,13,B99,36,Non Life-threatening
Gas Leak (Natural and LP Gases),3,B10,,Alarm
Traffic Collision,706,B04,03,Non Life-threatening
Traffic Collision,771,B04,41,Potentially Life-Threatening
Outside Fire,5,B02,,Fire
Medical Incident,4,B09,10,Potentially Life-Threatening
Medical Incident,23,B08,,Non Life-threatening
Citizen Assist / Service Call,35,B03,36,Alarm
Fuel Spill,24,B06,24,Alarm
Other,1,B04,01,Alarm
Gas Leak (Natural and LP Gases),14,B10,29,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",17,B03,13,Fire
Gas Leak (Natural and LP Gases),27,B07,21,Alarm
Alarms,26,B08,,Alarm
Vehicle Fire,18,B07,10,Fire
Other,27,B03,04,Non Life-threatening
Medical Incident,2,B02,10,Potentially Life-Threatening
Smoke Investigation (Outside),33,B09,44,Alarm
Other,5,B99,40,Alarm
Citizen Assist / Service Call,11,B02,37,Alarm
Smoke Investigation (Outside),15,B09,42,Alarm
Outside Fire,43,B07,12,Fire
Outside Fire,7,B09,,Fire
Outside Fire,1126,B10,09,Fire
Gas Leak (Natural and LP Gases),368,B07,31,Alarm
HazMat,19,B05,05,Alarm
Medical Incident,6,B06,13,Potentially Life-Threatening
Medical Incident,113,B99,01,Potentially Life-Threatening
Traffic Collision,19,B03,09,Potentially Life-Threatening
Watercraft in Distress,70,B10,25,Fire
Traffic Collision,66,B09,39,Potentially Life-Threatening
Citizen Assist / Service Call,136,B03,48,Alarm
HazMat,8,B02,03,Fire
Industrial Accidents,14,B04,16,Fire
Other,1,B03,12,Alarm
Electrical Hazard,146,B04,38,Alarm
Industrial Accidents,7,B01,28,Fire
Alarms,282,B06,06,Alarm
Traffic Collision,1,B07,07,Non Life-threatening
Odor (Strange / Unknown),97,B04,03,Alarm
Structure Fire,894,B04,38,Fire
Traffic Collision,796,B05,21,Non Life-threatening
Structure Fire,4866,B05,21,Alarm
HazMat,9,B10,32,Alarm
Vehicle Fire,44,B04,05,Fire
Medical Incident,128,B05,20,Non Life-threatening
Gas Leak (Natural and LP Gases),236,B07,14,Alarm
Other,3,B99,13,Alarm
Medical Incident,8,B04,22,Non Life-threatening
HazMat,2,B08,18,Alarm
Other,145,B07,10,Alarm
Medical Incident,6071,B05,12,Non Life-threatening
Smoke Investigation (Outside),27,B02,01,Alarm
Structure Fire,14,B02,08,Fire
Structure Fire,5281,B06,11,Alarm
Alarms,7259,B03,08,Alarm
Traffic Collision,865,B06,11,Non Life-threatening
Traffic Collision,5,B99,16,Non Life-threatening
Medical Incident,1,B04,06,Non Life-threatening
Structure Fire,37,B99,16,Alarm
Medical Incident,2,B10,25,Alarm
Outside Fire,6,B04,41,Alarm
Water Rescue,23,B03,28,Fire
Citizen Assist / Service Call,4,B10,47,Alarm
Other,150,B04,05,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",7,B08,22,Fire
Water Rescue,10,B10,25,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),494,B10,17,Alarm
Other,24,B03,36,Alarm
HazMat,7,B09,39,Alarm
Structure Fire,18,B06,,Alarm
Medical Incident,2,B10,15,Non Life-threatening
Medical Incident,10620,B10,25,Potentially Life-Threatening
Traffic Collision,843,B08,22,Non Life-threatening
Structure Fire,3409,B08,22,Alarm
Traffic Collision,155,B10,32,Potentially Life-Threatening
Medical Incident,26,B08,34,Potentially Life-Threatening
Citizen Assist / Service Call,1,B99,18,Alarm
Traffic Collision,2,B10,24,Potentially Life-Threatening
Smoke Investigation (Outside),94,B01,02,Alarm
Other,3,B08,12,Non Life-threatening
Traffic Collision,3,B06,29,Non Life-threatening
Confined Space / Structure Collapse,9,B02,06,Fire
Alarms,21,B99,14,Alarm
Assist Police,2,B03,48,Alarm
Traffic Collision,653,B05,05,Potentially Life-Threatening
Other,3,B08,20,Non Life-threatening
Fuel Spill,8,B04,10,Alarm
Traffic Collision,9,B05,23,Potentially Life-Threatening
Medical Incident,168,B04,51,Non Life-threatening
Outside Fire,3,B08,40,Alarm
Explosion,6,B04,05,Fire
Electrical Hazard,5,B04,28,Alarm
Medical Incident,2,B02,32,Potentially Life-Threatening
Alarms,504,B06,09,Alarm
Other,3,B10,07,Non Life-threatening
Structure Fire,10,B04,28,Fire
Odor (Strange / Unknown),72,B09,15,Alarm
Gas Leak (Natural and LP Gases),231,B02,06,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",15,B05,21,Fire
Medical Incident,4,B03,17,Potentially Life-Threatening
Structure Fire,47,B01,16,Fire
Alarms,256,B99,31,Alarm
Traffic Collision,764,B08,18,Potentially Life-Threatening
Industrial Accidents,50,B03,01,Fire
Elevator / Escalator Rescue,88,B02,05,Alarm
Medical Incident,10,B05,36,Non Life-threatening
Odor (Strange / Unknown),11,B03,13,Alarm
Other,3,B10,47,Alarm
Watercraft in Distress,6,B03,29,Fire
Citizen Assist / Service Call,174,B04,05,Alarm
Medical Incident,66,B99,31,Non Life-threatening
Outside Fire,377,B02,03,Fire
Medical Incident,2,B09,24,Potentially Life-Threatening
Structure Fire,559,B03,13,Alarm
Traffic Collision,41,B03,13,Non Life-threatening
Other,2,B05,,Non Life-threatening
Medical Incident,27,B99,21,Non Life-threatening
Vehicle Fire,341,B03,48,Fire
Medical Incident,2176,B06,09,Non Life-threatening
Elevator / Escalator Rescue,3,B09,42,Alarm
Elevator / Escalator Rescue,3,B09,44,Alarm
Medical Incident,6068,B09,32,Potentially Life-Threatening
Water Rescue,2,B03,35,Potentially Life-Threatening
Traffic Collision,2,B05,01,Potentially Life-Threatening
Structure Fire,43,B04,,Alarm
Traffic Collision,626,B08,40,Potentially Life-Threatening
Medical Incident,2,B03,35,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",4,B04,03,Fire
Vehicle Fire,2,B02,37,Fire
Traffic Collision,1251,B09,15,Non Life-threatening
Traffic Collision,7,B09,25,Potentially Life-Threatening
Citizen Assist / Service Call,248,B07,10,Alarm
Structure Fire,4775,B09,15,Alarm
Outside Fire,3,B05,05,Alarm
Other,1,B03,16,Alarm
Gas Leak (Natural and LP Gases),55,B01,01,Alarm
Medical Incident,2,B04,13,Alarm
HazMat,24,B04,41,Alarm
Medical Incident,4,B03,29,Alarm
Medical Incident,23,B05,16,Non Life-threatening
Other,287,B03,48,Alarm
Medical Incident,96,B99,14,Non Life-threatening
Alarms,201,B04,51,Alarm
Medical Incident,4,B03,41,Non Life-threatening
Medical Incident,2,B03,11,Potentially Life-Threatening
Outside Fire,2,B08,18,Alarm
Odor (Strange / Unknown),1,B06,,Alarm
Medical Incident,23985,B03,03,Potentially Life-Threatening
Traffic Collision,1,B99,20,Non Life-threatening
Watercraft in Distress,64,B03,35,Fire
Water Rescue,121,B10,17,Fire
Elevator / Escalator Rescue,79,B02,01,Alarm
Traffic Collision,2,B99,12,Non Life-threatening
Odor (Strange / Unknown),83,B08,22,Alarm
Train / Rail Incident,9,B03,29,Fire
Other,12,B02,37,Alarm
