Call Type Group,Call Type,Battalion,Station Area
Non Life-threatening,Other,B01,01
Potentially Life-Threatening,Medical Incident,B01,11
Alarm,Assist Police,B09,32
Fire,Outside Fire,B99,31
Alarm,Electrical Hazard,B03,29
Non Life-threatening,Medical Incident,B99,38
Alarm,Alarms,B99,22
Non Life-threatening,Traffic Collision,B03,09
Alarm,Other,B09,32
Fire,Outside Fire,B08,34
Fire,Explosion,B04,41
Alarm,Electrical Hazard,B05,12
Fire,Water Rescue,B08,40
Non Life-threatening,Medical Incident,B03,43
Alarm,Fuel Spill,B09,42
Alarm,Alarms,B07,31
Alarm,Structure Fire,B09,33
Alarm,Fuel Spill,B09,44
Fire,High Angle Rescue,B01,13
Alarm,Electrical Hazard,B05,20
Alarm,Medical Incident,B08,36
Fire,Explosion,B02,01
Fire,Industrial Accidents,B01,03
Alarm,Smoke Investigation (Outside),B05,06
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B02,03
Alarm,Alarms,B07,21
Potentially Life-Threatening,Medical Incident,B05,01
Non Life-threatening,Other,B03,36
Fire,HazMat,B06,07
Non Life-threatening,Traffic Collision,B09,42
Non Life-threatening,Traffic Collision,B09,44
Potentially Life-Threatening,Medical Incident,B06,03
Non Life-threatening,Medical Incident,B10,03
Alarm,Other,B99,01
Non Life-threatening,Medical Incident,B02,01
Alarm,Electrical Hazard,B02,05
Potentially Life-Threatening,Other,B02,03
Alarm,Electrical Hazard,B10,17
Potentially Life-Threatening,Medical Incident,B06,11
Non Life-threatening,Medical Incident,B10,11
Alarm,Alarms,B10,32
Potentially Life-Threatening,Medical Incident,B04,02
Alarm,Citizen Assist / Service Call,B07,18
Fire,Vehicle Fire,B10,29
Alarm,Electrical Hazard,B03,35
Non Life-threatening,Medical Incident,B04,41
Alarm,Alarms,B07,14
Alarm,Odor (Strange / Unknown),B10,25
Potentially Life-Threatening,Traffic Collision,B10,08
Alarm,Citizen Assist / Service Call,B08,29
Fire,Outside Fire,B10,37
Alarm,Smoke Investigation (Outside),B04,05
Fire,High Angle Rescue,B03,35
Alarm,Medical Incident,B08,20
Alarm,Smoke Investigation (Outside),B07,10
Alarm,Structure Fire,B03,25
Fire,Industrial Accidents,B02,36
Alarm,Structure Fire,B08,23
Non Life-threatening,Medical Incident,B10,29
Fire,High Angle Rescue,B10,17
Potentially Life-Threatening,Medical Incident,B06,29
Alarm,HazMat,B04,38
Non Life-threatening,Medical Incident,B04,08
Fire,Vehicle Fire,B04,41
Potentially Life-Threatening,Medical Incident,B10,40
Alarm,Medical Incident,B08,12
Alarm,Fuel Spill,B08,33
Non Life-threatening,Medical Incident,B99,39
Potentially Life-Threatening,Other,B02,29
Fire,Confined Space / Structure Collapse,B09,15
Fire,Vehicle Fire,B02,01
Potentially Life-Threatening,Traffic Collision,B04,03
Non Life-threatening,Medical Incident,B05,16
Potentially Life-Threatening,Medical Incident,B02,48
Alarm,Aircraft Emergency,B09,44
Alarm,Electrical Hazard,B01,13
Alarm,Outside Fire,B06,24
Alarm,Electrical Hazard,B03,03
Potentially Life-Threatening,Traffic Collision,B09,26
Fire,High Angle Rescue,B05,20
Non Life-threatening,Traffic Collision,B08,33
Fire,High Angle Rescue,B05,12
Alarm,Gas Leak (Natural and LP Gases),B06,11
Non Life-threatening,Medical Incident,B10,35
Non Life-threatening,Medical Incident,B99,28
Potentially Life-Threatening,Medical Incident,B02,19
Alarm,Alarms,B99,51
Fire,Explosion,B10,29
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B02,29
Alarm,Alarms,B02,07
Alarm,Outside Fire,B06,32
Non Life-threatening,Medical Incident,B03,17
Non Life-threatening,Traffic Collision,B01,41
Fire,Water Rescue,B99,16
Non Life-threatening,Medical Incident,B05,36
Fire,Vehicle Fire,B10,17
Potentially Life-Threatening,Medical Incident,B04,06
Potentially Life-Threatening,Traffic Collision,B06,09
Non Life-threatening,Traffic Collision,B10,09
Alarm,Electrical Hazard,B10,29
Alarm,Fuel Spill,B99,10
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B06,26
Potentially Life-Threatening,Traffic Collision,B01,02
Fire,Vehicle Fire,B03,35
Alarm,Elevator / Escalator Rescue,B05,06
Alarm,Other,B07,18
Potentially Life-Threatening,Medical Incident,B04,22
Fire,Explosion,B01,13
Fire,Outside Fire,B07,51
Fire,Explosion,B03,03
Fire,Structure Fire,B09,32
Alarm,Citizen Assist / Service Call,B99,01
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B03,01
Fire,Water Rescue,B10,47
Fire,Vehicle Fire,B02,05
Alarm,Gas Leak (Natural and LP Gases),B05,05
Non Life-threatening,Medical Incident,B10,43
Potentially Life-Threatening,Medical Incident,B06,43
Alarm,Gas Leak (Natural and LP Gases),B01,03
Fire,Outside Fire,B05,10
Potentially Life-Threatening,Other,B06,26
Alarm,Gas Leak (Natural and LP Gases),B03,13
Fire,Vehicle Fire,B05,12
Non Life-threatening,Medical Incident,B01,13
Alarm,Medical Incident,B01,28
Non Life-threatening,Medical Incident,B03,03
Potentially Life-Threatening,Traffic Collision,B09,19
Fire,Vehicle Fire,B05,20
Alarm,Gas Leak (Natural and LP Gases),B04,51
Non Life-threatening,Traffic Collision,B99,10
Potentially Life-Threatening,Traffic Collision,B03,08
Alarm,Citizen Assist / Service Call,B09,32
Potentially Life-Threatening,Medical Incident,B02,36
Fire,Vehicle Fire,B03,29
Alarm,Fuel Spill,B10,09
Potentially Life-Threatening,Other,B03,01
Fire,Watercraft in Distress,B03,48
Potentially Life-Threatening,Other,B01,16
Alarm,Alarms,B03,32
Alarm,Fuel Spill,B01,41
Alarm,Odor (Strange / Unknown),B08,23
Fire,Outside Fire,B06,07
Potentially Life-Threatening,Medical Incident,B01,35
